Year,Context/Event,FII_crore,DII_crore,NIFTY_close,SENSEX_close
1992,Liberalization,13.4,13017.8,-,2615.37
1993,Liberalization,5127,11405.9,-,3778.99
1994,Liberalization,4796,11342,-,3260.96
1999,Dot Com,9669.5,4233.1,1528.45,5001.28
2000,Dot Com,10207,2766,1148.2,3604.38
2001,Dot Com,8072,1673,1129.5,3469.35
2007,Global crisis,53404,47697.11,4734.5,15644.44
2008,Global crisis,-47706,60040.47,3020.95,9708.5
2009,Global crisis,110221,24297,5249.1,17527.77
2013,Taper Tantrum,79709,-28060,6704.2,22386.27
2014,Taper Tantrum,111333,38595,8491,27957.49
2015,Taper Tantrum,-14172,80416.71,7738.4,25341.86
2019,COVID,6152.26,129300,8597.75,29468.49
2020,COVID,274032,-134000,14690.7,49509.15
2021,COVID,-140010,221500,17464.75,58568.51
2022,Russia-Ukraine,-37632,255500,17359.75,58991.52
2023,Russia-Ukraine,208212,185740,22326.9,73651.35
2024,Russia-Ukraine,-127041,495000,23519.35,77414.92
2025,DII Dominance,-226000,849000,22331.4,71947.55
